time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-27T20:55:24.730Z,40.2563324,-121.1956635,-0.16,2.78,md,26,142,0.2233,0.14,nc,nc73137121,2019-01-28T14:11:23.208Z,"5km NNW of Almanor, CA",earthquake,0.54,4.26,0.12,16,automatic,nc,nc
2019-01-27T11:10:49.270Z,34.2715,-119.582,0.74,3.05,ml,45,45,0.1387,0.26,ci,ci38207119,2019-01-30T12:04:02.040Z,"15km SSW of Carpinteria, CA",earthquake,0.24,0.47,0.12,105,reviewed,ci,ci
2019-01-27T04:24:47.350Z,38.7812,-97.5404,10,2.7,mb_lg,,40,0.793,0.4,us,us2000j9cm,2019-02-01T22:50:33.740Z,"9km SE of Salina, Kansas",earthquake,4.4,2,0.071,52,reviewed,us,us
2019-01-27T03:48:11.390Z,28.5181,-98.2876,10,2.6,mb_lg,,142,0.538,1.2,us,us2000j9cg,2019-01-28T02:00:20.091Z,"12km WNW of Three Rivers, Texas",earthquake,2.5,2,0.109,22,reviewed,us,us
2019-01-27T01:03:14.610Z,32.875,-115.7531667,11.72,3.49,ml,65,32,0.03209,0.3,ci,ci38206711,2019-01-30T08:29:57.467Z,"17km W of Imperial, CA",earthquake,0.23,0.45,0.14,258,reviewed,ci,ci
2019-01-26T20:31:26.610Z,40.3511658,-124.1218338,28.51,2.87,md,16,84,0.06596,0.07,nc,nc73136841,2019-01-27T01:07:49.455Z,"14km ENE of Petrolia, CA",earthquake,0.49,1.1,0.09,14,automatic,nc,nc
2019-01-26T15:45:44.646Z,38.6942,-115.8671,8.5,2.5,ml,18,82.96,0.41,0.2101,nn,nn00675687,2019-01-27T06:58:19.026Z,"34km W of Currant, Nevada",earthquake,,3.4,0.26,8,reviewed,nn,nn
2019-01-26T07:21:53.480Z,35.7736,-105.6539,1.68,2.9,ml,,86,1.055,0.48,us,us2000j94r,2019-01-26T17:41:38.477Z,"22km N of Pecos, New Mexico",earthquake,2.4,2.4,0.091,34,reviewed,us,us
2019-01-26T06:20:58.240Z,38.8436,-97.5179,5,2.8,mb_lg,,53,0.753,0.75,us,us2000j94l,2019-01-27T04:36:05.125Z,"8km E of Salina, Kansas",earthquake,2.5,1.9,0.064,64,reviewed,us,us
2019-01-26T04:53:32.740Z,28.5266,-98.1538,10,2.7,mb_lg,,124,0.446,1.41,us,us2000j940,2019-01-26T05:09:48.040Z,"7km NNE of Three Rivers, Texas",earthquake,3,2,0.09,32,reviewed,us,us
2019-01-26T01:29:54.010Z,28.5646,-98.1597,10,2.6,mb_lg,,120,0.423,0.93,us,us2000j92k,2019-01-26T02:44:07.040Z,"11km N of Three Rivers, Texas",earthquake,1.7,2,0.117,19,reviewed,us,us
2019-01-25T21:55:12.510Z,34.6078,-96.2507,4.76,2.6,ml,,288,0.141,1.25,us,us2000j90i,2019-01-26T23:10:01.040Z,"8km NNW of Coalgate, Oklahoma",earthquake,2.7,5.8,0.138,8,reviewed,ok,ok
2019-01-25T20:31:58.652Z,38.3846,-115.8295,4.7,3.8,ml,55,38.92,0.195,0.2169,nn,nn00675571,2019-01-30T02:49:10.095Z,"50km SW of Currant, Nevada",earthquake,,1.5,0.36,21,reviewed,nn,nn
2019-01-25T19:03:24.050Z,35.8237,-97.3967,5.98,2.7,ml,,31,0.055,0.32,us,us2000j8xf,2019-01-26T16:51:32.040Z,"6km SSE of Guthrie, Oklahoma",earthquake,0.9,2.4,0.209,18,reviewed,ok,ok
2019-01-25T18:32:40.980Z,37.0574,-97.3633,7.21,3.4,mb_lg,,85,0.101,0.38,us,us2000j8x4,2019-01-26T16:18:08.463Z,"21km E of Caldwell, Kansas",earthquake,1.2,3.5,0.045,129,reviewed,us,us
2019-01-25T17:51:44.930Z,36.2155,-97.577,6.44,2.9,ml,,46,,0.29,us,us2000j8wn,2019-01-26T16:05:36.040Z,"27km WSW of Perry, Oklahoma",earthquake,1.1,3.2,0.246,30,reviewed,ok,ok
2019-01-25T15:04:35.340Z,35.2753,-97.848,7.06,2.7,ml,,68,0.085,1.19,us,us2000j8s2,2019-01-26T05:49:50.021Z,"3km WSW of Tuttle, Oklahoma",earthquake,1.7,2.2,0.373,20,reviewed,ok,ok
2019-01-25T12:05:47.720Z,31.114,-103.7377,5,2.5,mb_lg,,80,0.278,0.67,us,us2000j8r5,2019-01-25T12:23:39.040Z,"41km SW of Pecos, Texas",earthquake,1.1,1.9,0.1,29,reviewed,us,us
2019-01-25T04:00:54.280Z,36.6835,-98.1992,7.65,2.8,ml,,105,,0.23,us,us2000j8m9,2019-01-25T22:57:54.040Z,"16km ESE of Cherokee, Oklahoma",earthquake,1.2,4.9,0.317,39,reviewed,ok,ok
2019-01-25T01:30:50.580Z,36.4276667,-120.2636667,6.94,2.89,ml,52,64,0.04168,0.17,nc,nc73136191,2019-02-02T07:40:04.050Z,"10km SSE of Cantua Creek, CA",earthquake,0.29,0.2,0.205,25,reviewed,nc,nc
2019-01-25T01:28:58.710Z,36.6795006,-120.2716675,7.3,2.67,md,17,195,0.2509,0.24,nc,nc73136186,2019-01-25T04:19:02.713Z,"4km NNW of Tranquillity, CA",earthquake,1.7,2.09,0.19,8,automatic,nc,nc
